x,y,stdev
10.1,988.4,10.9
10.2,991.2,8.8
10.3,1001.1,12.9
10.4,1001.5,12.2
10.5,998.4,12.3
10.6,997.9,12.9
10.7,977,12.9
10.8,972.5,11.5
10.9,966.4,8.2
11,963.9,7.5
11.1,956.4,10.2
11.2,945.5,10.2
11.3,944.1,10.9
11.4,949.3,10.3
11.5,949.2,11.6
11.6,949.5,11.5
11.7,929.5,7.5
11.8,944.5,7.4
11.9,939.9,11.6
12,940.2,9.5
12.1,959.3,12.2
12.2,938.5,11.6
12.3,945.1,13.6
12.4,970.1,12.9
12.5,981.2,12.2
12.6,988.2,10.9
12.7,1012.4,12.9
12.8,1018,13.6
12.9,1040.8,12.9
13,1057.8,12.9
13.1,1075.3,14.9
13.2,1071.7,18.4
13.3,1128.7,14.2
13.4,1161.5,13.6
13.5,1181.1,13.7
13.6,1210.5,17.7
13.7,1235,14.9
13.8,1274.5,15.6
13.9,1291.8,14.2
14,1292.7,12.3
14.1,1309.6,10.2
14.2,1352.9,16.3
14.3,1328.9,15.6
14.4,1366,13.6
14.5,1359.7,12.2
14.6,1372.3,12.2
14.7,1364,13.6
14.8,1373.2,14.9
14.9,1411.2,15
15,1364.5,13.6
15.1,1375.7,12.9
15.2,1349.5,12.2
15.3,1355.2,12.9
15.4,1349.8,12.9
15.5,1301.4,14.3
15.6,1288.5,15
15.7,1269.3,14.3
15.8,1232.9,12.9
15.9,1197,14.9
16,1187,15
16.1,1154.8,14.3
16.2,1109.2,15.7
16.3,1090.1,17
16.4,1035,15.6
16.5,995.7,16.4
16.6,969.9,13.6
16.7,926.2,16.4
16.8,892.7,15.6
16.9,863.3,16.4
17,817.7,13.7
17.1,821,14.9
17.2,766,17
17.3,758.6,15
17.4,737,15.6
17.5,723.7,17.7
17.6,677,14.2
17.7,697,19.1
17.8,670.8,17
17.9,646.2,16.3
18,635,17.7
18.1,623.1,17
18.2,612.9,12.2
18.3,610.4,15.6
18.4,602.3,16.4
18.5,575.7,15
18.6,620,14.9
18.7,575.5,15.6
18.8,583.3,13.6
18.9,567.3,2.1
19,567.3,6.8
19.1,557.3,4.8
19.2,550.6,4.8
19.3,541.7,10.2
19.4,542.1,9.5
19.5,558,12.2
19.6,558.3,15.6
19.7,533.7,12.2
19.8,521.7,3.4
19.9,519,6.8
20,510.9,4.1
20.1,514.3,8.2
